,EFTUD2,LSM5,SF3A1,HNRNPA1L2,SF3B2,PRPF19,SNRNP27,HNRNPA3,LSM6,USP39,DDX42,NCBP1,SF3B1,MAGOH,CDC40,SF3B3,SRSF9,ACIN1,TXNL4A,TCERG1,U2AF2,RBM17,PRPF38B,THOC1,PLRG1,CCDC12,MAGOHB,HSPA8,LSM7,NAA38,PQBP1,RBMX,LSM4,EIF4A3,SF3A3,DDX46,RBM25,PRPF40A,PRPF40B,LSM2,SF3A2,SMNDC1,BCAS2,NCBP2,PRPF8,CWC15,DDX23,CDC5L,SF3B5,SNRNP40,PRPF31,SNW1,DHX15,WBP11,HNRNPU,CTNNBL1,HNRNPK,TRA2A,SNRNP200,HSPA1L,HSPA1B,RBM22,HSPA2,HSPA1A,ZMAT2,PRPF6,DHX16,U2AF1,PRPF38A,HNRNPC,DDX5,DHX8,HSPA6,DHX38,XAB2,SNRPG,SNRPF,SNRPD2,SNRPD3,SART1,SYF2,CRNKL1,U2SURP,PRPF3,AQR,PRPF4,LSM3,SF3B4,PPIH,SLU7,BUD31,PHF5A,SRSF10,SRSF6,SNRPA,SRSF7,SNRPA1,HNRNPM,SNRPB,TRA2B,SNRPB2,PUF60,SRSF5,SNRNP70,PCBP1,PPIL1,SRSF4,SNRPD1,THOC2,SNRPC,PPIE,SRSF2,SRSF1
CAL-120,1.006520727260957,0.8474786255504374,0.9116575011384599,2.490795039491581,1.7756715359247492,1.9959231731181148,1.8484252666250929,0.4266452744555771,2.29558247417914,1.855582423640859,0.8449259785076662,0.8269864325586108,1.6033392478900539,1.6432642516868787,0.3931739999077512,0.7105276177485136,2.215118294120582,0.8555059330499318,0.10024983341241514,1.6583436851848974,0.4877413952007035,1.3763369187772128,1.3431692432726652,1.151383478782627,1.1168740240489832,-0.5544092458470974,2.542553597643682,-0.006645621087751957,2.2833829976519207,2.601168823601316,1.0401682246198762,1.622187945523342,2.347288577781899,2.6356914277972447,2.031443531035031,1.1853452899153265,1.5689384867344833,1.2263524428247543,-0.15571996545832165,2.3152536930831387,0.0137254103338611,1.582251763432546,1.0292263202670122,1.3983049058777208,2.054503457126307,1.0949904823812897,-0.5992198091861753,1.5515094624603418,2.535414087884132,1.6368532639905349,1.1397380424863184,2.0842040636557777,2.439754604386656,-0.5051062138692977,2.306437690798563,0.7678051014370352,2.3754606349512337,1.3289144305011062,1.4498762294254728,-0.5225940734005476,2.2123645906394342,0.6780893222862702,0.7147331396901585,2.9106822270668165,1.8530387062225533,0.5858821192248648,0.5159952770087958,2.235673689601413,1.47556513040005,0.6067532223543235,2.8877591773018567,0.13493443780089795,-0.6935996027543477,0.667011284491432,-0.11089603156584464,2.762085032805522,1.9313098844242729,3.3585254216650893,2.1760068924331617,0.35685749971061176,1.7533081373738464,0.9938879335301718,1.2422467549376677,0.2358607124349641,0.5717210140570986,0.731551097693077,2.211098314480927,-0.00759608815047382,0.7438742428545696,1.7298090943040625,2.4627575017081003,1.4439765122023454,1.2635489043101065,2.008355206563436,1.2685463013824771,2.2613049281026134,0.13690367679794302,2.413888781843882,2.371767603578216,1.9335319738652128,2.0214256920084024,1.5916203165399878,1.905649353170055,1.0672963063776522,2.7315965498920294,1.7441416742829967,2.0753780399387622,1.3109181078078922,1.2177246605012235,2.467328091936868,1.5354819702460225,2.2505527817952777,1.8756235093280256
ETK-1,1.1060013396815789,0.8569924484950452,1.1338727655772751,1.9719769576368744,2.2775926170447094,2.455285272677977,1.683472075470064,0.1830724184928533,2.3687206917778907,2.018758463065982,1.22425713963536,0.6338713396448079,1.146527320661197,1.5412438006577156,0.5948438358434911,0.4126136122029663,2.6163502994465553,1.1267870005256246,-0.2617763855220861,0.9822667160504408,0.2426165908664201,1.1576132539523072,0.9568877699635582,0.5717681024925604,0.7128391468913303,-0.6769538650889416,2.302122775076579,-0.3851017083589408,1.9438542738404123,2.8323640065407445,1.4481544577336922,0.8711181786641248,2.351924665859109,2.9070781960010765,1.2789369425312396,0.7030622918669684,1.206697950067689,0.6835807063099546,0.02343608810772807,2.399319087063585,-0.044463443504216736,1.8772931998516291,0.6870810497271489,0.7588325449750501,2.7408162396438778,0.8975436111239207,-0.35994773695847954,1.3229532145724268,2.72000924160354,1.8522205462798569,0.7241541561086833,1.9990623911186516,2.08293064984155,-0.4367510101529524,1.9099059635427704,0.9249256481254756,2.509906271842941,1.3290860468128176,1.7470178281811195,-0.4714418681113594,2.596898943077236,0.3496551811053255,0.7367229462197933,3.017193729013531,1.5811060620292907,1.1597808510719112,0.9690148099658926,2.4664421884713033,0.6862590437604094,0.42241413985185206,2.7582956475103195,0.46759340232522495,-0.7187794765083124,0.928631372335344,-0.3366274873953624,2.692920106991696,2.0080513648068083,3.069631107375257,2.3458178917426147,0.4701816549037553,1.4577737342858448,0.554886845846254,0.338682176150956,1.0220847678207088,0.3389579643167851,0.6547307001543253,1.879489695828448,0.5386590318212866,0.7273319394025882,0.9681589017028548,2.6504354289053844,1.6557539697028083,1.1315541217427465,1.2885798393399348,1.3726074993082966,1.94914187353612,-0.37599687556454653,2.6427452367444357,2.717491793292341,1.847955133294864,2.275543632944057,2.473430727771433,1.5940360547810593,1.2489693521990477,2.7567052043470706,1.5099871761334167,2.435191866479526,1.1123854224728418,0.3063333622462241,2.7079599662164067,1.79890694179697,2.153191102327064,1.7537528462730694
H2731,1.3446876101948393,1.458619489836232,0.9673952031358696,2.3008287732787043,1.859116602004039,2.32074470787476,1.9460064261280876,0.6278380059576999,2.322361630072975,2.331746645131349,1.1179713703341299,1.2377016281223971,1.7726011579237118,1.8126901151675432,0.9644714675807112,0.52649468996345,2.5464274200237207,1.0428834558115392,-0.22082769270811528,1.2768831056281302,0.1427008345365434,0.8801739582056929,1.225369004884822,1.0170240209859869,1.0248711900028629,-0.8122251301944042,1.600857150363508,-0.02604921733003853,2.432098252882541,2.518936513694784,1.3600789869100527,1.7914783073287173,2.2632995132933886,2.675181240242054,2.140129011974756,1.2516144985644868,1.5027535799990646,1.412214239937141,-0.17656136712241965,2.57105400049887,0.07334340294714185,1.8299498370968557,1.13258180296334,1.4785434986830062,2.0381676443683188,1.0323262928749255,-0.4504545762965583,1.7496137707588904,2.8523229696240766,1.7539468919250891,0.9733104911904912,2.099302537646261,2.614501893744321,-0.3140173974636354,2.1410841837007086,0.8435429491186179,2.6331724198592954,1.6285214201272866,1.6843972344433915,-0.536089818212427,2.48988013640139,1.0339236245715124,1.4078361305501907,3.0473594505192105,1.6256872738349204,0.7056079694525625,1.1537822663733863,3.0534404533766537,1.2806487316440538,0.7286586871978751,3.1586136499165085,0.5024896433932008,-0.9427058007973752,0.6789171887653263,-0.24963081251808536,2.815563130063736,2.206850916244099,3.2578747618887345,2.32667724992792,0.4188184789427253,1.7072299844698926,0.8128130136257388,1.445405443617123,0.7562231204307984,0.5276557981540456,1.1568894320098029,2.1049329455353964,0.2730511296564738,0.7145430152345356,1.9016561253708693,2.7813188452209694,1.7066078068109205,1.1072346027900997,2.1627657083194567,1.2481943753592442,2.345604739511993,-0.21604967958630406,2.822823541326464,2.3418006869355343,2.35379232799804,2.037461442445788,2.0466188529258256,1.6653772841754833,1.210353669469342,2.7672582929633363,2.023548408981084,2.186103002684333,1.1726780110084365,0.7513367579410057,2.82254219300886,1.7156739023967458,2.360582027672395,1.86899964512755
NCI-H441,1.125960192178653,0.6489384246759652,1.1278101382281966,2.4408873157047863,2.171825603593584,1.9489940872938825,1.806132939091607,0.4550034108894413,2.3919494013941165,1.6064573956637076,1.2237411635715014,0.37551549623484254,1.8150340324836731,1.5196299519562209,0.5561244819976227,0.6666830626255675,2.5800735366609917,1.1365858297017863,-0.0341798367768264,1.6125113289888964,-0.03107908088159333,1.0998168723427646,0.9298543025812996,0.6011589564735811,0.8655619579931121,-0.7529123983154143,2.2340178298445603,-0.403090095173656,2.026767808592342,2.526152107481658,0.9763486942070002,1.4016035783469147,1.9871798754928016,2.4717924632515897,2.0980759438973773,1.1044033177578214,1.603309386891686,1.1545786702054741,0.11716522574755173,2.3046727506380607,-0.1428280545222686,1.4908165094598766,0.6927145733630327,1.4725713611014295,2.079750335423019,0.7681203962030189,-0.6210058474246408,1.52263681015408,2.2498685238111156,1.449719647577299,0.3984884552447748,1.918874160496633,2.4925945957400977,-0.5021674027778822,2.1037142998279226,0.4590387404180658,2.534060712190134,1.1202020662198982,1.5265449965123716,-0.5273006343882607,2.4267696095588587,0.7914929388868333,-0.3598623661965333,2.6778782669287184,1.5361044056390059,0.4448047550393194,0.5077400563745272,2.556937592331385,1.1519031814490162,0.4840228172235224,2.9942657562398787,0.3002636990984925,-0.11218043996774227,0.7784360867497291,-0.27024025794112433,2.6565967512205666,2.054272851871387,3.063068845088306,2.296507459148857,0.4938115478378065,1.5819136137375924,0.3788232118901717,1.013668161238845,0.5987522571195554,0.3996734512980454,0.5802690091529845,1.6887617769056869,-0.05468320223139108,0.5723725867584276,1.5632101443972444,2.6166083449346207,1.40189863715931,1.2618845062228328,1.764630800839261,1.0730202601457226,2.204641539662233,0.14963032075680865,2.531625649778078,1.7862183867048855,2.1256991615177454,1.8396697147346608,2.188344377203269,1.8938628446158272,1.016434622573815,2.734787886980445,1.6642375545814532,2.177440898071289,0.9437803839603388,1.220817728842251,2.4394293950062473,1.5089880645916809,2.116651069617039,1.7090803407210124
NCI-H358,0.9713015706510848,0.34557366658648103,0.9405457380837308,2.025669882924875,2.0953649854285468,2.1869969186177,2.0205991793162634,0.21828904114816425,2.430895068568031,1.714969865511555,1.2906260080674137,0.8406636266570897,1.6167388410375525,1.5625210445721165,0.28798058510716,0.6208832023771815,2.657637176642707,0.9589883323128788,-0.16167953600158844,1.304364679457363,0.025832981584239183,0.9837275541798912,1.2792976896217922,0.6804773554350952,1.036659701164197,-0.6138187661043168,1.3473064453598391,-0.3083030820895952,1.8176591879681918,2.2534892629745014,1.2254146488978317,1.4403954046368102,1.6549055319488115,2.6691752950753047,1.6705861946420435,1.1274779542544109,1.5524987982337428,1.1485713109900726,0.17114790671930474,2.257817829396728,-0.2864790284552857,1.5435020574702418,0.8750972889423556,1.5398733605013708,1.7194366187275325,0.8356281289796168,-0.5843452189166085,1.386690738131748,2.026751322543656,1.2598258030951812,0.6016461062387858,2.3294303371505736,2.7508430286069827,-0.6356248433484216,2.079506318661288,0.6898143872457735,2.3829071485641022,0.981415337417208,1.722793031038379,-0.6195273830058871,2.5550585209429384,0.7408218591472255,-0.06685708943272621,2.814580700952716,1.5438948837880448,0.29546435402548865,0.6994360520284923,2.521055663713382,1.187445785895395,0.17560965876268506,3.3976812687489923,0.2647537615950389,-0.01995938054394297,0.7830575034277929,-0.3604409197336935,2.682396715246292,1.9621855007142976,3.2585355795692115,2.0242187458888066,0.41511982607386777,1.7310513365327416,0.8302889686668997,1.2010265979945114,1.0181173908439043,0.5357484464708622,1.2482395541159221,1.2529261897840367,0.18632727190604745,0.032403389921359764,1.6334365657857588,2.537811887750013,1.2714381177699572,1.1735609054072895,1.9217396647817628,0.8933416148371381,2.005239266832253,0.4113612232485219,2.266316356569614,2.4051205332241423,1.9145800556223072,2.504784380996784,2.415006597173521,2.145676050371069,1.237010739513816,2.9406695579238487,1.9243525731814288,2.0236454701981383,0.7191641804784693,0.949242973547987,2.3876271000818243,1.639831234023555,2.0273333242825213,1.7240523416664493
LS-411N,0.8480460332159451,1.0801016464614148,1.1973888093141585,2.1957319787737704,1.7022848003606807,2.0982280377918205,1.5952951608685468,0.07754995906968379,2.5428158839041286,1.6923376025416916,0.98710050615137,0.9303707303194952,1.5297571736338824,1.5983747836214692,0.8798450025148578,0.6680179517077719,2.4506120932715647,0.9847147493455196,-0.0010541996598510944,1.3061549934172716,0.07763148242990578,1.2644225556344633,1.3862286122407044,1.2509823120085524,0.5896843036970589,-0.5088290855124107,2.021040086888409,0.028327229413220644,2.3603453808714008,2.570320284633321,1.4744936072820791,1.59661404772117,2.3805569111106,2.338402453024452,1.824327786024336,1.230156541989257,1.6748416734709035,1.0946280380763456,0.025144986215238887,2.2490529311394445,-0.04610674180861685,1.8186326218226891,0.6458259574830241,1.3881306758597405,2.3327493230049434,0.6792153120221055,-0.5493234204384503,1.082292270260251,2.4905963495517947,1.5417043497563838,0.4844515372847545,2.108803929293832,2.559748187980196,-0.6240467120120837,2.2248448160536793,0.19878110971029386,2.3553304873753325,1.4433489440062202,1.277074916591068,-0.5941573308327455,-0.013665325447218327,1.024105030162995,-0.19106858345518304,-1.0217289339743938,1.7557895964394068,0.0476652730159193,0.50343946111015,2.4779079414611056,0.9328428711473801,0.16105361496686998,2.992465942369666,0.3171945593905153,-0.6917008090815198,0.5320475113551479,-0.3813095216247993,2.3583447885116784,2.1894399107825757,3.1343604007722674,2.3685815318672336,0.1107630272260635,1.9282882325922337,0.7347555402898451,1.2089235912042475,0.2826914132355362,0.423931874030365,0.8646793751479698,1.3602194245125243,0.0006371793312892409,0.4889690003982555,1.6967010096794453,2.7052788532916443,1.6547812773541422,1.5101316042216717,1.5829751425769925,1.029329696450478,2.130339710592054,0.6769166619565544,2.572965465854,2.2749911685565825,2.071835721528276,1.8268743534242504,1.991254896436428,1.9651891373926729,1.1456310211878125,2.683742542554897,1.2967459543687565,2.115051136964666,1.0333071142352666,1.2563814793842871,2.18870163904621,1.4594345228292531,2.115269323898297,1.966376534835288
NCI-H2452,1.1160357567118326,0.9436018834579564,1.2776291691776445,2.0548935143947844,1.9147336246325384,2.3287545561247107,1.5609925659502342,0.4801126600969813,1.9867731627943157,1.776702787240369,1.0406815918407415,0.5457146600815064,1.6487240799062404,1.7409098153004667,0.6377703977700245,0.41324296055863663,2.415141704691389,0.8955764631057689,-0.1462866255881079,1.4768290185018338,0.06472365455969037,1.0207176496089096,1.0451844383891162,0.8305952456832956,0.6893156715966555,-0.7509090897502326,2.2731479418691705,-0.08402787080172172,2.1359806587154755,2.3654406851639407,1.2724658372163058,1.320069663703867,2.2164184149375528,2.3723893150338293,2.1530224602032675,1.4989208987465,1.3322199540583304,1.183033985261719,-0.2300181849804076,2.2201154835943617,0.057733559868470265,1.8329244980142767,0.5997243458226573,1.5194675647017772,2.519853229049166,1.0076230911355315,-0.5110766297804626,1.4303988007749229,2.609509874938412,1.6531678465548971,0.8963291029485062,1.8799598926760244,2.4056884530674667,-0.468965050122421,2.00220972735325,0.6460620543202908,2.1027762743533507,1.2545261714065594,1.5366382430619019,-0.30877319191518104,1.685652525442347,0.5478091474860608,-0.7115076208946897,2.7207584483263134,1.781793275671679,0.6466605011664859,0.675397825621758,2.45608556285513,1.3023710885517708,0.2649423224561227,3.0676714072023867,0.1605248843299242,-0.7679014524481738,0.8197042803191248,-0.20451753449904286,2.6980229192235154,1.9598821636126469,3.0543690162460084,2.1150503656805903,0.3740616737067789,2.0447960592783034,0.9482051280892528,1.3045497397646688,0.4578067150176581,0.7643344167877936,0.9627498853597508,1.5605570447016774,0.0620594942249286,0.7544189187698692,1.705015819868347,2.649400279252101,1.2443355321553553,1.0051524538080674,1.952868524944416,0.8461259866128552,2.168421933180131,0.17579103225709775,2.623344497531813,2.4416677275903367,1.892945510123528,2.0890678044937165,2.04516900212825,1.5123369448900916,0.8538135838235951,2.7919581834628437,1.9133007046175332,2.2015526751351167,1.0807953745917191,1.0465023973511958,2.567367798250755,1.4550531498953996,1.9057670163787,1.6731541282032334
UACC-257,1.4168917567366857,0.8844319325705501,1.6740851262117729,1.9436580995482624,1.8209505296842892,2.329810904656002,1.6492781860177133,0.7740472422843759,1.5827648543264972,1.9943593704470568,0.8684646645933631,0.6330094206302346,1.435419160056836,1.2930634084576,0.22977239808418085,0.4660288693110754,2.7957313503321664,0.7732240968411659,0.23758510195333485,0.5210324185845631,0.2181372022548868,0.6848148646873015,-0.253482021487798,0.4510014958313143,0.28148933202794363,-0.7956428449373045,1.5440677761130317,-0.14654354772681433,2.334896367385126,2.603072336184034,1.392213378524313,0.9812549036738,2.2535883465482764,2.741813082796221,1.932619975528453,-0.0694840586446782,-0.5395826846618977,-0.030219431908762237,0.2039118146970051,2.3142983544911564,-0.004765561060700875,1.469482545795376,0.48238714727179705,1.3180534543538227,2.2515886122234807,0.8201010254506591,-0.6889258965666515,0.7035346258185811,2.287638908741516,1.6460052811870671,0.7390095746420146,1.8409055214682988,2.371778300018254,-0.5567288355583004,1.9762751267504584,0.8084580939023048,2.1869615019104414,1.032263209254543,1.5489082038503534,-0.31228034252110554,1.7066678623451117,0.6693848794980601,2.048103575040923,2.3964137760679627,1.5050273411867146,0.40844980172030093,0.7823746539993898,2.3130072156449315,1.3581429226294168,0.6110050065834114,2.9478480731850043,0.4577133191554631,0.28795900539166663,0.6352180406750723,-0.4082252631948993,2.5378633323185626,1.662294775071772,3.2500261621428743,2.36175433793783,0.3249310108441296,1.3974192789237816,0.8773042534412117,0.15030849726863105,0.10550158168127728,0.3997011661613064,0.8742974903233176,1.3592093059988113,0.28629241877963085,0.5716777020892898,1.0595611459340382,2.2508212073093965,1.656031707285299,1.2777392218013344,1.9525635934618488,1.1416551949353428,2.1753721289386023,0.1130915022141677,2.525933428843771,2.416770126710293,2.072714507713267,2.1061110524223428,2.3686393252080884,1.9424054688540011,1.1638397096941928,2.935649980824772,1.8093308363249183,2.1133981738828407,1.310494085789085,-0.4648285991871655,2.5712381848708814,1.9961172419713948,2.0971264843794324,1.8463456489919918
H2369,1.1756725768955751,0.6462073476538868,0.8702547411222169,1.6016071826833644,1.8103491324900411,1.999827877126852,1.466469047440178,0.15510485859381828,2.495499471225981,1.7490147621198624,1.0824099794910098,0.2851136344825326,1.4997693930802376,1.738208673410781,0.6799682860865656,0.032665200369346226,2.4971855640680354,0.2760334135231097,0.2494891290860381,1.2169910535524868,-0.1084212126973532,1.2489270585672607,0.7057155702638341,0.7655702393353089,0.8598860188879338,-0.7105650274206287,2.073932296808577,-0.1219040398452897,1.5417999052958218,1.911054577666308,1.319358377243008,1.2615587887911608,1.907938741541152,2.365794482308523,2.063506535589551,1.0521615999116112,1.5546965298176258,1.0176958399173903,-0.17602388282011733,2.1304763957131194,-0.4591287996007517,1.645227345218468,0.6875943438883633,1.2887700917450058,1.6947802097544904,0.7079400735784075,-0.6380272165017006,1.263639670374531,2.534899600176872,1.433514860496233,0.9789265814360522,2.188328691887633,2.123694905378102,-0.6843844327365995,2.103013253680662,0.5774602289427301,1.958944016775772,1.2371275565401083,1.2068064914822538,-0.4875054046663906,1.9983946852778285,0.443226899289504,1.1249385531263916,2.5777328905937447,1.6803577380017647,0.3267183310253588,0.7036698519510234,1.8202860333920257,1.1299481369409716,0.3046141352610611,3.2060406405546087,0.0696076524171323,-0.7504852251477858,0.5482656250564237,-0.026049796650060804,2.579910309389715,1.908458117001392,3.0093788153234886,2.0004306047857257,-0.0434918282903972,1.9669718491360568,0.3085281490361274,1.1516419935460125,0.4683026105888956,0.3916677670925432,0.878710130528624,1.5091731404248878,-0.17551539810288955,0.4700108576724926,1.8171385403000768,2.6862848311158483,1.50226693634769,0.8731613265260074,1.8124703294072304,0.2490109022321768,1.82700311462204,0.9340057076888266,2.2530545120579646,2.1523371812001653,1.6985637360030168,1.9340536813684648,1.9110218495470412,1.8575002570077432,1.1917235814793132,2.340552122040192,1.8010106681703943,1.929666568783854,0.7136028146701712,1.0025367168847013,2.4313462972980067,1.5194423318548564,1.8614369557506096,1.4884712310585946
H2804,1.289174312115753,1.1515307782473991,1.1007199675366308,2.02402535945062,1.9941438763505976,2.4278123278697152,1.748312228687298,0.4099299512009118,2.1963587808172806,2.0244054601342043,1.311718295638674,0.7887434595913592,1.2041927178811365,1.6234196553854197,0.28676279719420594,0.5387107724088097,2.563936687304956,1.0123011057182754,-0.019801167199390044,1.4434857259918257,-0.018498424033699824,1.034660653957915,0.9878610140295138,0.28230998163803583,0.4369579555595807,-0.6861904893211163,2.476263177036357,-0.23080160522446974,2.0992289417176924,2.4479368013459983,1.3786756526142008,1.435447893597152,2.057381455542543,2.6934400898833983,1.9206999129581928,1.2625831770793998,1.1293792358175547,0.8809195786814429,-0.2984980161231037,2.2661366516843797,-0.08060695746506194,1.6382887100617605,0.6088204664408491,1.3229263877266346,2.45511165547394,0.8154794726422716,-0.3632733669174589,1.1726779541489625,2.2646607690148874,1.7538761710407018,0.9019370790345848,1.8768662540613328,2.241345927061956,-0.0483057200356913,2.2383705053301672,0.8717413987773911,2.634481070941213,1.3808600290723507,1.6722718550764075,-0.6318624401221432,2.4714001970336,0.7593686353637135,1.6131132576187681,2.9470281626871526,2.047502899658184,0.6951107648903101,0.8329199619258214,2.5308277979694,1.1822061415862029,0.5499945751474965,2.991267830469448,0.6037985286476731,-0.6349835856744181,1.0238337246323166,-0.3520157162041569,2.754747703417637,2.317724493096207,3.2141429360090057,2.4572708299460446,0.03391330811525891,1.6148581658069652,0.6441360253277953,0.6933196601782885,1.0270974647068196,0.20370463175889494,1.150724198981086,2.000727418004172,0.8087048862968867,0.698682201997826,1.5487959722636604,2.650010407550025,1.8208177286186549,1.2588728427511349,2.1786977317966607,1.3342891998509976,2.1882991663945104,-0.3136087798172876,2.6247781800398085,2.643254535005155,2.120800284699793,2.4809225850523524,2.6740639480222703,1.56543104308295,1.408467041311782,2.7379406855798836,1.9285703524620808,2.082379582614834,1.0149683698614895,0.43080424770258335,2.6327480779636536,1.7914183250503697,2.4346883764879705,1.720349161080876
